tweet_id,topic_category,tweet_timestamp,sentiment_score,positive_score,negative_score,neutral_score,impressions,likes,engagement_count
T78,,03-01-2025 19:33,0.516115807,0.207563472,0.39258704,0.595193703,7082,3231,389
T988,AI,03-01-2025 22:12,-0.04231577,0.209973959,0.296646866,0.231818772,1001,1943,
T11911,Finance,10-01-2025 04:45,0.170173862,0.985778293,0.679645766,0.614720433,6718,4168,277
T37761,Finance,23-01-2025 05:11,-0.864318603,0.744907085,0.106615506,0.671782606,,433,587
T31221,Sports,03-01-2025 14:47,0.176177977,0.009119102,0.0959595,0.434865118,12878,1938,661
T5706,Finance,13-01-2025 13:17,-0.325156646,0.691949725,,0.891722159,10287,1600,708
T2215,Sports,02-01-2025 23:34,0.551670149,0.405335591,0.169833607,0.906375966,9200,4920,476
T21910,AI,19-01-2025 20:18,-0.320609339,0.365609755,0.860321936,0.94834786,8508,3125,700
T25687,Sports,07-01-2025 02:51,0.590156343,0.696905082,0.385442046,0.705367302,12167,1911,13
T2793,Finance,12-01-2025 15:41,-0.493819796,0.860401275,0.569405636,0.976640601,3103,4646,379
T24939,Sports,19-01-2025 09:35,-0.949326061,0.909516942,0.371828089,0.848989906,19592,1249,153
T17789,Finance,01-01-2025 20:31,0.948876129,0.863084776,0.032428396,0.617706337,7682,835,709
T99,Sports,14-01-2025 01:01,0.503982246,0.393982851,0.480791114,0.209648132,7898,2577,705
T5503,AI,14-01-2025 19:58,-0.845342102,0.278048733,0.464486256,0.946996117,10454,4378,992
T14515,Sports,08-01-2025 06:28,-0.998713806,0.04614356,0.077754956,0.984041984,13752,3146,82
T19354,Cloud,23-01-2025 09:06,0.94312891,0.734793727,0.397723035,0.110233146,3869,2470,147
T30429,AI,07-01-2025 16:13,,0.212288687,0.119901514,0.644821471,1199,1694,541
T28892,Sports,04-01-2025 06:39,-0.907170733,0.925684449,0.404739001,0.585224003,,4470,121
T8844,Cloud,18-01-2025 17:35,-0.862536124,0.521465088,0.938007263,0.27005732,7582,274,450
T17209,Finance,07-01-2025 00:23,-0.569811256,0.845669975,0.318650987,0.153003643,10069,2962,935
T1694,Sports,23-01-2025 11:45,-0.416337874,0.605970626,0.120273445,0.318430069,7464,2417,217
T27468,Sports,12-01-2025 21:56,0.133774786,0.045435773,0.757469918,0.104616143,5617,,995
,Sports,19-01-2025 18:34,0.096293993,0.926627794,0.937142891,0.986180234,346,2754,277
T15440,Cloud,19-01-2025 07:10,-0.344770961,0.145305393,0.835163793,0.833935038,17395,1838,
T17557,Sports,09-01-2025 07:42,-0.991367504,0.275577793,0.241676992,0.476033956,2803,2155,377
T21804,AI,23-01-2025 18:52,-0.866514206,0.965673979,,0.197877968,17228,728,717
T15719,AI,23-01-2025 15:36,-0.087333078,0.207164521,0.431702345,0.548242463,6109,3563,
T17771,Sports,18-01-2025 18:26,0.814963498,0.312594858,0.253527913,0.537994755,11726,4812,789
T12603,Sports,03-01-2025 02:35,,0.838826337,0.508828552,0.811560625,3144,26,932
,AI,02-01-2025 04:05,-0.342054244,0.333554455,0.451538833,0.897206301,1177,816,320
T5659,Sports,10-01-2025 13:32,0.260684365,0.54604525,,0.121846548,593,2131,6
,Cloud,17-01-2025 10:22,0.799977822,0.297470507,0.827209112,0.508975754,215,1525,207
T24576,AI,23-01-2025 11:10,-0.374946948,0.508326329,0.414527893,0.661231982,12140,4670,593
T21640,Cloud,07-01-2025 13:38,-0.61423231,0.57710826,0.350816315,0.658347185,8693,2720,410
T240,Sports,03-01-2025 08:21,-0.724091806,0.699386199,0.835768519,0.11407844,4978,4877,789
,Cloud,07-01-2025 21:07,-0.324213359,0.059602718,0.713971639,0.670594866,2425,3764,542
T35474,Finance,14-01-2025 21:29,-0.914747595,0.62578539,0.018496265,0.53210412,5504,136,551
T27922,Finance,07-01-2025 13:48,-0.584338761,0.172595539,,0.434202853,7000,1080,709
T13215,Finance,05-01-2025 02:36,-0.416756185,0.597301371,0.765704373,0.264623757,13756,1359,228
T11263,Cloud,01-01-2025 19:25,,0.579523151,0.740708046,0.144123423,9261,3415,871
T5287,Sports,17-01-2025 16:27,-0.143384121,0.288080168,0.098246861,0.402420933,13115,3330,917
T9355,Finance,16-01-2025 02:27,0.319152563,0.253983407,0.061901194,0.657532258,1577,4800,865
T34387,Finance,13-01-2025 16:18,-0.971515538,0.257751542,0.035447219,0.092571721,10352,3035,292
T33999,Cloud,20-01-2025 12:53,0.274385061,0.91469308,0.071783411,0.764074315,576,511,193
T9839,Cloud,23-01-2025 16:36,-0.733291049,0.079915564,0.505996957,0.441959467,4587,2884,70
T11563,AI,09-01-2025 08:11,0.413647129,0.128468566,0.790862118,0.472580468,1657,,870
T10617,,10-01-2025 09:44,0.964409302,0.150071571,0.304492657,0.77092716,18994,3905,823
T3028,Sports,18-01-2025 19:48,-0.608101248,0.77883527,0.16571858,0.481512347,6082,1624,455
T11961,AI,02-01-2025 21:26,0.418904522,0.879296598,0.999347773,0.278843895,3362,4659,187
T2081,Sports,04-01-2025 14:33,-0.196271343,0.570225395,0.451584401,0.852578752,17064,4464,491
T6079,Sports,08-01-2025 06:35,0.214357997,0.84011624,0.3394446,0.670014609,6309,1090,238
T18602,Cloud,05-01-2025 19:48,-0.221283338,0.729228151,0.859165234,0.584256168,17405,4530,880
T8529,Sports,20-01-2025 00:34,0.355069417,0.771760523,0.904284394,,12907,4593,27
T34252,Cloud,08-01-2025 01:02,0.669147862,0.542219625,0.599827472,0.166932916,13117,940,
T12869,AI,01-01-2025 10:00,-0.633478915,0.885435072,0.690806746,0.355936828,8783,,987
T17258,AI,22-01-2025 20:33,-0.045750118,0.423525067,0.96882655,,,1057,483
T4163,,22-01-2025 03:43,0.953224113,0.56308826,0.740225313,0.125853773,10278,3453,807
T32148,Cloud,16-01-2025 16:25,-0.361820067,0.922626102,0.089534958,0.996807761,14872,,988
T16121,Finance,06-01-2025 22:00,0.688897923,0.79062151,0.820072179,0.683963132,881,2599,677
T224,AI,07-01-2025 12:10,-0.32908946,0.730523775,0.615097509,0.733031175,13469,2129,964
T14201,Finance,12-01-2025 01:36,-0.958614187,0.797960699,0.811038601,0.965486077,13736,109,125
T28938,Finance,06-01-2025 23:56,-0.35568445,0.224839698,0.521689059,0.90555158,13619,1398,964
T3320,Sports,15-01-2025 23:34,-0.582266816,0.854454958,0.030034926,0.268672145,19061,4696,342
T20776,AI,10-01-2025 05:37,0.689341974,0.148276013,0.738817355,0.108538278,1968,708,104
T20371,Cloud,04-01-2025 12:59,-0.887866708,0.903942554,0.955549035,0.692817096,10399,2134,478
T39640,Sports,09-01-2025 12:01,-0.752447767,0.105973168,0.998468038,,18146,453,888
T25382,Sports,21-01-2025 00:10,0.456844562,0.592567906,0.935459661,0.341633355,1951,253,698
T29216,Sports,17-01-2025 00:59,0.753543844,0.124812269,0.762686001,0.092354251,7526,1379,193
T7970,Cloud,19-01-2025 14:19,,0.00474296,0.544119206,0.471441534,3266,1852,481
T26308,Finance,13-01-2025 15:57,0.034107905,0.628151399,0.470463144,0.746423538,,2209,850
T17117,Finance,13-01-2025 14:50,-0.407731831,0.055023159,0.804334324,0.71656195,6049,4529,195
T28206,Sports,05-01-2025 12:45,,,0.590170574,0.176265422,71,1031,161
T5528,Sports,20-01-2025 20:13,-0.973383659,0.560368159,0.960466008,0.121802858,2235,2169,216
T26103,Finance,17-01-2025 02:17,-0.170255056,0.088798451,0.334561379,0.49274694,19498,1979,
T35343,Sports,22-01-2025 22:28,0.458467581,0.754884005,0.150030428,0.897583606,12124,789,
T25700,,11-01-2025 14:35,-0.884630906,0.007622895,0.773452431,0.479185648,5902,,748
T35286,Sports,24-01-2025 00:47,-0.281861658,0.58938039,0.717949197,0.944298251,6582,1869,121
T38790,Finance,06-01-2025 19:06,-0.271144781,0.543608799,0.857715828,0.200126498,5483,1125,499
T35583,Finance,22-01-2025 09:50,-0.398810333,0.26912267,0.895211175,0.804998266,18213,2617,908
T12824,Cloud,20-01-2025 16:10,0.70076387,0.687240832,0.143045822,0.159310371,1173,3941,763
T5236,AI,12-01-2025 13:19,0.696201517,0.227169821,0.925250341,0.627024522,16212,4002,138
T34314,Sports,06-01-2025 13:44,0.391769966,0.728408136,0.757576515,0.02410818,3057,2746,582
T33281,AI,19-01-2025 03:51,-0.633780593,,0.965597256,0.213605514,11428,4346,426
T29477,AI,12-01-2025 00:44,0.136354658,0.218066917,0.528834206,0.536170111,17657,2483,77
T22377,Finance,13-01-2025 21:50,0.621332998,0.5560466,0.966699005,0.30481666,19725,3598,531
T37449,Sports,22-01-2025 01:11,-0.856824097,0.921851273,0.90295865,0.799742638,,1339,610
T30978,Sports,09-01-2025 05:37,-0.063526839,0.233327074,,0.391760598,234,3411,628
T34860,Cloud,11-01-2025 19:38,-0.999239358,0.475039535,0.483360433,0.874894536,14777,211,
T20416,Finance,12-01-2025 20:11,0.131933513,0.58303894,0.048514239,0.901471177,3524,2021,642
T16692,AI,08-01-2025 11:20,-0.105994337,0.697011077,0.25605261,0.917088356,14155,4696,446
T1278,Sports,16-01-2025 06:56,-0.920585288,0.587855938,0.557268965,0.272308779,13608,645,41
T38419,Cloud,22-01-2025 11:22,-0.502374395,0.197123894,0.357366901,0.30210835,14997,2099,350
T24346,Cloud,,0.628645551,0.571248391,0.385987626,,1729,1067,71
T4620,Sports,20-01-2025 10:14,-0.713326152,,0.638236727,0.464177862,14706,2722,758
T14873,Cloud,03-01-2025 20:42,0.891190319,0.959054091,0.727457088,0.88875033,3232,314,910
T36342,AI,14-01-2025 02:27,-0.522766298,0.401108351,0.065008254,0.015530791,2116,869,638
T36449,AI,23-01-2025 20:21,0.354381627,0.276413757,0.373092589,0.338339046,859,,405
T9206,AI,10-01-2025 12:29,0.860203567,0.806589348,0.798224291,0.223059673,,4194,738
T8382,AI,02-01-2025 16:28,0.839545375,0.613515417,0.688987779,0.120680561,16148,654,815
T5220,Finance,,0.249109246,0.05886059,0.314162953,0.118834363,158,4609,601
T13294,AI,16-01-2025 06:25,0.763449296,0.473903004,0.179858296,0.25059427,6287,2257,796
T17804,Finance,14-01-2025 10:25,0.448487946,0.002437554,0.3634201,0.751034798,7148,4979,43
,AI,11-01-2025 08:10,-0.202135785,0.211018067,0.661663773,,16643,4921,421
T12061,Finance,16-01-2025 09:33,0.076911139,0.652197158,0.137574984,0.117070382,10523,2038,644
T12676,AI,08-01-2025 18:33,0.001231233,0.099706058,0.00176122,0.489569133,6907,607,306
,Finance,06-01-2025 12:26,-0.994658685,0.535378581,0.9835916,0.716060674,,2775,131
,Finance,19-01-2025 05:29,-0.65670754,0.775069867,0.63234786,,5544,921,542
T35534,Finance,07-01-2025 12:09,,0.110690359,0.822441689,0.479389251,,1095,57
T16074,Finance,03-01-2025 14:26,-0.186790679,0.13671186,0.536291547,,8687,,694
T17439,Sports,,0.299019413,0.166323023,0.193132104,0.495133501,4858,2257,578
,AI,08-01-2025 03:13,-0.270062109,,0.507813429,0.572775464,14983,1076,274
T14146,AI,07-01-2025 19:48,-0.5610032,0.93962853,0.003203122,0.358272363,16373,2022,391
T23004,,06-01-2025 23:38,-0.208886398,0.827403891,0.69027246,0.373583763,3656,395,696
T35564,AI,,-0.413102366,0.926560524,0.838439286,0.881165778,2731,3907,907
T24191,AI,23-01-2025 15:47,-0.557196213,0.740154236,0.689170942,0.648660892,,682,351
T27053,Cloud,01-01-2025 16:24,0.914200542,0.656497549,0.75096541,0.212386099,,4255,456
T4565,Finance,03-01-2025 18:06,-0.389631305,0.613422284,0.525931848,0.398031363,,4995,435
T36606,Cloud,03-01-2025 08:14,0.282819368,0.167243551,0.999183313,0.678179731,12467,1549,213
T24420,Sports,01-01-2025 05:49,,0.251852876,0.526264714,0.261304865,3924,1884,233
T25776,Finance,19-01-2025 07:17,,0.22530403,0.709051969,0.153477336,13585,3872,229
T8323,AI,10-01-2025 21:39,,0.335032799,0.888033252,0.287578559,,1190,173
T336,Sports,01-01-2025 10:01,-0.847442621,0.72178817,0.576012637,0.489449444,318,3170,905
T20929,Sports,03-01-2025 07:45,0.968554803,0.208502639,,0.78420551,14696,4649,15
T6884,AI,06-01-2025 13:04,-0.835754927,0.474039187,0.624372771,,12886,3668,578
T4455,Finance,07-01-2025 11:08,-0.895113851,0.031193454,0.03724676,0.737997576,10359,2964,855
T23841,Sports,12-01-2025 05:33,0.342789617,0.923454941,0.28681798,0.364237931,19102,2983,610
T1846,Finance,01-01-2025 11:33,0.379807317,0.102607223,0.003366521,0.853873847,7114,1813,585
T38946,Sports,06-01-2025 10:43,-0.01335639,0.669017121,0.789110099,0.960512947,580,3571,330
T18973,Finance,19-01-2025 13:25,0.53285665,,0.824691635,0.056938215,16719,1536,50
T23961,Cloud,22-01-2025 19:02,-0.181014197,0.912981788,0.946349382,0.309992847,12936,4821,500
T16104,Sports,22-01-2025 00:40,0.058915491,0.933204827,0.929419676,0.273162191,17500,2291,538
T6393,AI,18-01-2025 02:18,-0.688908564,0.629854648,0.090444887,0.135021504,13272,2190,864
T7713,Finance,,,0.647124257,0.825125185,,15147,3955,736
T16406,Cloud,,-0.247404373,0.925512039,0.471109368,0.639821956,18217,899,344
T39752,Cloud,16-01-2025 02:31,-0.281093366,0.605812283,0.753261007,0.856032825,5582,49,66
T27442,Finance,12-01-2025 23:11,0.247021989,0.474048019,0.05450811,0.309782023,6682,2942,707
T37127,AI,03-01-2025 10:15,0.574344985,0.49282051,0.836344809,0.258141103,6014,4813,988
T29034,Sports,,-0.12319031,0.857251681,0.498272681,0.493286581,5392,740,363
T14201,AI,03-01-2025 12:43,-0.973137367,0.762456294,0.598490018,0.28729055,6526,614,471
T1686,Sports,14-01-2025 18:37,0.853042425,0.5789147,0.694213719,0.938801425,8664,2530,866
,Finance,17-01-2025 03:34,-0.885613359,0.243226717,0.412837951,0.100462617,10880,4753,113
T27683,Sports,,0.019311138,0.856492269,0.419743881,0.171911594,16094,836,649
T21554,Sports,23-01-2025 03:23,,0.156349851,0.470302487,0.178426025,6584,1855,91
T7891,Cloud,05-01-2025 07:15,-0.152097377,0.902934578,0.949088599,0.63502231,1251,3420,454
T18058,Finance,13-01-2025 16:32,-0.696813786,0.961171278,0.139006639,0.623894993,8560,2148,826
T35680,AI,02-01-2025 03:44,0.092144373,0.113352066,0.964351621,0.422512595,16519,1219,410
T23434,Finance,04-01-2025 08:05,0.05581843,0.945621487,0.91953218,0.175593672,4135,1183,310
T3913,Finance,07-01-2025 00:42,0.366618588,,0.822757157,0.486361392,2518,2586,886
T7880,Sports,22-01-2025 21:33,-0.454059711,0.535361587,0.174860837,0.673122062,1761,2476,673
,Sports,01-01-2025 03:12,-0.080247377,0.331892741,0.753975061,0.300367553,1953,611,952
T26332,Sports,02-01-2025 04:04,0.020686588,0.128426242,0.595165203,0.354213203,12375,2728,171
T7899,Finance,23-01-2025 09:05,0.323074172,0.994548567,,0.272061596,16479,3610,229
T32266,Finance,14-01-2025 07:12,-0.932941781,,0.741809494,0.851833012,6204,1895,790
T9871,AI,13-01-2025 11:05,-0.71869115,0.939474223,0.512416658,0.798572235,12916,1596,92
T19889,Sports,13-01-2025 08:05,-0.455738201,0.054059894,0.658522742,0.535958648,17092,,96
T16821,Sports,15-01-2025 13:40,-0.095420053,0.956545868,0.450550169,0.669994659,7396,1640,579
,AI,07-01-2025 12:47,-0.073139735,0.637455151,0.780349173,0.201411677,4822,355,877
T6020,AI,16-01-2025 16:11,-0.839501919,0.130752307,0.03571036,0.01706684,14764,359,387
T34009,Cloud,03-01-2025 02:32,-0.114971389,0.986412535,0.933736391,0.166572133,14758,3758,701
,Cloud,,0.120436547,0.745483745,,0.461103639,13256,4569,237
T10324,Finance,18-01-2025 03:52,0.784007675,0.813017996,0.386075214,0.869723228,13642,995,684
T6248,Sports,01-01-2025 07:35,0.8427067,0.987480139,0.331884833,0.333354715,4472,2844,338
T14084,Finance,04-01-2025 02:55,-0.625459989,0.588541118,0.167490621,0.94972247,7505,4817,313
T4941,Finance,12-01-2025 09:28,-0.035158432,0.856403877,,0.51678523,5729,4801,639
T36282,Sports,17-01-2025 02:37,0.372357658,0.084447027,0.61488976,0.350673926,5714,796,228
T8739,Finance,07-01-2025 01:50,0.952041595,0.336785774,0.552399906,,5241,3069,377
T13951,Cloud,08-01-2025 10:56,-0.676640426,,0.858211648,0.256859411,11633,4738,246
T10466,Cloud,02-01-2025 15:52,0.970058796,0.430098198,0.553238412,0.193417822,18032,4415,979
T17642,Finance,07-01-2025 21:35,0.961941496,0.804134547,0.517827497,0.302546886,7786,1675,630
T12171,Finance,09-01-2025 18:59,0.989435664,0.599546669,0.054347545,0.2407947,108,4133,374
T13489,Finance,18-01-2025 03:48,0.778816441,0.047102063,0.690420943,0.301130103,12769,531,162
T32359,Sports,15-01-2025 17:34,0.124623698,0.786798121,0.762758204,0.559927047,15400,3635,589
T5470,AI,18-01-2025 19:23,-0.438704562,0.902508654,0.416125138,0.624558602,18217,635,144
T23513,Finance,05-01-2025 08:39,-0.961521994,0.849569099,0.418282319,0.910226433,14441,2815,483
T2717,Finance,22-01-2025 15:06,0.109653399,0.173933916,0.536642582,0.743927615,14702,4573,401
T3989,Cloud,22-01-2025 07:52,-0.196587363,0.21024749,0.0052033,,11541,4256,703
T2959,Finance,11-01-2025 21:12,-0.398391105,0.751423293,0.112627077,0.66497812,19902,2516,589
T5553,Cloud,23-01-2025 15:24,-0.043838401,0.135058664,0.558580294,0.473900547,77,4516,
T8465,AI,23-01-2025 05:40,0.991632085,0.630572464,0.520620804,,6115,2352,872
,Sports,08-01-2025 09:30,-0.35407922,0.13592751,0.812616024,0.278311105,3194,761,258
T5639,Cloud,04-01-2025 19:56,-0.347534279,0.352191621,0.654311098,0.884921821,797,4438,210
T21530,AI,17-01-2025 18:01,0.568337542,,0.298363782,0.734402723,6666,1021,691
T32754,Cloud,14-01-2025 02:23,0.135408207,0.152225517,0.200890203,0.571266768,17937,1565,923
T26817,Cloud,21-01-2025 06:42,0.254293714,0.218650886,0.084883156,0.544963683,,2229,452
T19950,Cloud,18-01-2025 03:37,0.072299569,0.223160603,0.129788756,0.924931375,1713,2964,289
T36455,Cloud,19-01-2025 14:23,0.868275478,0.938755583,0.201882562,0.262022803,7549,4172,185
T36091,Cloud,21-01-2025 18:41,,0.879557492,0.887227506,0.963670468,14182,2358,656
T10220,Sports,14-01-2025 16:36,-0.618442012,0.472246063,0.532813044,0.992871283,8076,238,445
,Finance,16-01-2025 04:22,0.925225453,0.968725664,0.536857875,0.763536077,19113,3797,305
T19871,AI,15-01-2025 21:46,-0.093725081,0.75223774,0.103753063,0.45498032,13347,756,150
T4740,AI,04-01-2025 15:30,0.787297105,0.163307033,0.080631319,0.121036939,4467,52,923
T28988,Finance,18-01-2025 22:40,0.255525145,0.289481043,0.225585637,0.696305279,4475,4190,590
T18601,Finance,22-01-2025 19:52,0.935337011,0.842292335,0.244585829,0.669105352,6272,2620,665
T2365,Cloud,08-01-2025 17:36,0.126127702,0.589700612,0.797161405,0.31162683,2723,260,897
T7559,Finance,22-01-2025 21:11,0.316950425,0.937726952,0.387676621,0.102546958,15495,4967,539
,Cloud,08-01-2025 00:09,0.113839696,0.397885718,0.227772474,,8735,2329,21
T23534,AI,09-01-2025 13:36,,0.217993616,0.558671884,0.565076083,11584,3549,228
T21087,Finance,22-01-2025 07:58,0.213758235,0.605685007,0.000285967,0.559409322,1219,759,736
T32504,AI,15-01-2025 06:09,0.448179614,,0.819298617,0.13788697,,369,981
T2043,Sports,17-01-2025 01:44,-0.380570718,0.379505728,0.78521251,0.015427226,19024,1025,315
T18029,,22-01-2025 23:00,-0.065624985,0.576302827,0.404403055,0.484692051,19959,657,664
T8736,Cloud,15-01-2025 22:35,0.133014298,0.733634497,0.360972066,0.370325137,17075,1920,394
,Finance,22-01-2025 17:53,-0.784027182,,0.002280689,0.887053011,2261,2721,634
T9302,,03-01-2025 03:25,0.27633864,0.035209946,0.232262067,0.777919689,10422,795,242
T21762,,14-01-2025 16:41,0.595049823,0.135882523,0.974059626,0.415603137,17733,2057,197
T37367,Finance,23-01-2025 02:13,-0.345296436,0.830826048,0.87877219,0.398208566,10341,3872,146
T21372,Finance,12-01-2025 11:29,0.95138013,0.961959207,0.51420464,0.205906192,9656,4907,378
,Sports,19-01-2025 03:45,0.413329425,0.451858954,0.863084179,0.906371385,1044,,315
T10059,Cloud,14-01-2025 10:29,-0.144617788,0.715404873,,0.514045894,14174,4258,64
T7195,Sports,17-01-2025 23:02,0.762320062,0.613721631,0.053259051,0.724972672,14577,1927,250
T30230,AI,08-01-2025 06:58,-0.997311932,0.152443166,0.13326962,0.676479575,5513,1771,822
T33627,Finance,23-01-2025 06:09,-0.435463609,0.742834188,0.096183003,0.033180654,18428,3804,434
T15314,AI,01-01-2025 08:13,,0.504531245,0.320501928,0.106254342,,17,173
T6454,Cloud,17-01-2025 20:14,0.081008561,0.11004222,0.872873142,0.340271195,510,2835,931
T26458,Sports,14-01-2025 07:00,0.528780671,0.940647335,0.044591221,0.369024789,13725,3555,595
T20640,Cloud,01-01-2025 21:51,-0.560669742,0.965231429,0.385901604,0.254452682,827,2140,285
T25648,AI,21-01-2025 16:50,-0.269006502,0.241502812,0.539659145,0.559375747,,,923
T26104,AI,14-01-2025 14:07,0.847558352,0.820603444,,0.684283983,2356,4714,368
T9024,AI,,0.983910708,0.418191185,0.445257534,0.423734851,18039,442,263
T36362,AI,18-01-2025 18:06,-0.673473323,0.165352738,0.083179233,0.107405025,12665,1697,521
T1485,Sports,01-01-2025 22:37,0.370924443,0.561389385,0.596085297,0.937387281,10585,1706,454
T9643,Cloud,09-01-2025 01:26,-0.860330113,0.145897971,0.552547135,0.806835036,14655,544,578
T10448,AI,18-01-2025 09:20,0.457749069,0.478762875,0.046726728,0.287599323,12824,,805
T38509,Finance,,0.424162587,0.721757611,0.432434209,,17372,4535,265
T34112,Sports,04-01-2025 12:14,-0.778814286,0.62166877,0.183795303,0.70227554,300,3130,749
T7884,AI,21-01-2025 19:14,0.538258605,0.401214942,0.902457355,0.001178145,15730,987,663
T1926,Sports,,-0.557483602,0.608474273,0.790375288,0.023618157,4844,1615,743
T437,Cloud,10-01-2025 04:17,,0.257164922,0.025762268,0.736910848,8844,459,448
T9416,AI,20-01-2025 13:52,,,0.545502494,0.2368579,8745,1768,609
T25542,Cloud,18-01-2025 21:14,0.375286405,0.542190471,0.070002843,0.746368635,19358,1149,685
T6139,Cloud,,-0.031262846,0.287488014,0.319439842,0.946496296,4503,1859,434
,AI,01-01-2025 11:25,0.993779636,0.408434816,0.584229187,0.802244606,16303,851,670
T22935,AI,06-01-2025 16:37,0.798533236,0.117782695,0.240871416,0.556809614,17054,2071,967
T813,Cloud,03-01-2025 18:05,-0.760294198,0.826580041,0.263367807,0.938840185,4286,1451,207
T11436,Cloud,03-01-2025 01:46,0.636970015,0.683747415,0.884871875,0.89439373,16215,2856,769
T15428,AI,07-01-2025 13:34,-0.018705897,0.651517089,0.52790743,0.869625088,14855,4601,172
,Finance,09-01-2025 08:45,0.969946502,0.917991143,0.209152486,0.322228017,11062,4695,2
T2270,Finance,14-01-2025 09:48,-0.342572428,0.523675832,0.960303168,0.749806123,16559,2364,458
T37604,Cloud,15-01-2025 09:38,-0.222548014,0.265902253,0.186573004,0.556747459,18791,718,653
T24832,AI,17-01-2025 02:57,0.46124672,0.020663803,0.118722288,0.831755274,,4534,502
T31698,Sports,20-01-2025 04:15,0.749636488,0.951403741,0.355178547,0.817337608,2480,2958,959
T23947,Cloud,01-01-2025 04:31,0.359185196,0.01439473,0.107799723,0.196508562,737,2347,477
T38417,Cloud,12-01-2025 00:26,,0.802409502,0.337081648,,19711,410,
T22366,Cloud,12-01-2025 22:47,-0.181788205,0.090647048,0.231933357,0.095582489,16860,3208,68
T21214,Cloud,12-01-2025 01:12,,0.917419687,0.100530525,0.934307628,14454,3875,201
T984,Finance,14-01-2025 05:27,,0.301959197,0.463521172,0.724302679,5760,2782,140
T38628,Cloud,20-01-2025 13:39,0.092302078,0.550672979,0.430587041,0.760033223,11748,4612,602
T22756,Finance,21-01-2025 19:39,0.890559358,,0.534273472,0.968058266,96,3538,785
T33559,AI,16-01-2025 10:47,-0.035439025,0.954058881,,0.875127158,4467,764,817
T30272,Cloud,18-01-2025 14:49,,0.631176804,0.920002613,0.227808828,11501,4485,302
T4296,Finance,22-01-2025 03:37,-0.872343191,0.359260931,0.769173572,0.937337949,,1000,295
T23975,Cloud,06-01-2025 10:00,-0.234094389,0.995136574,0.236337765,0.087433223,2910,4866,324
,Finance,02-01-2025 23:38,,0.357123978,0.720944884,0.717693978,2478,828,654
T18809,Sports,10-01-2025 20:25,0.862272327,0.59110205,0.111128295,0.492999335,16215,4602,707
T21703,Sports,01-01-2025 23:18,0.838276361,0.844783682,0.051089354,0.503853108,2416,83,672
T30004,Sports,20-01-2025 03:37,0.62203309,0.898453791,0.971378495,0.467598566,9214,2908,811
T30898,Finance,06-01-2025 14:08,0.72292091,0.472691224,0.499908704,0.688327085,17356,1990,310
T29212,Cloud,20-01-2025 01:35,0.81537043,0.164821807,0.03885605,0.740165004,10373,893,550
,Finance,05-01-2025 09:10,-0.602272849,,0.747159364,0.861656258,17982,3834,847
T30817,AI,19-01-2025 19:23,0.37775134,0.51382388,0.223708636,0.982809411,7009,2312,527
T16070,Sports,,0.049660108,0.830873018,0.545701171,0.304048643,10293,2323,509
T13887,AI,16-01-2025 17:30,0.337914397,0.590131483,0.400820921,0.880559249,13241,3190,525
T9831,AI,17-01-2025 22:08,0.911566326,0.598861068,0.81331337,0.142559038,15502,2189,492
T26122,Cloud,22-01-2025 09:50,-0.154372346,0.746164754,0.47418233,0.080541461,629,2962,336
